Rk,G,Date,Age,Tm,,Opp,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
13,13,11/20/2009,20-086,OKC,,WAS,W (+19),0,26:24:00,8,11,0.727,4,6,0.667,5,6,0.833,3,1,4,1,4,0,2,5,25,23.2,4
14,14,11/22/2009,20-088,OKC,@,LAL,L (-16),0,30:21:00,2,15,0.133,0,10,0,6,6,1,0,3,3,6,3,2,3,3,10,5.6,-4
15,15,11/24/2009,20-090,OKC,@,UTA,W (+10),0,19:38,4,5,0.8,1,2,0.5,1,1,1,0,2,2,1,0,0,0,1,10,9,6
16,16,11/27/2009,20-093,OKC,,MIL,W (+18),0,27:18:00,6,7,0.857,3,3,1,0,2,0,1,1,2,2,1,0,2,3,15,11.9,1
17,17,11/29/2009,20-095,OKC,,HOU,L (-9),0,19:16,1,4,0.25,0,1,0,3,4,0.75,0,3,3,0,2,0,1,3,5,2.9,-12
18,18,12/2/2009,20-098,OKC,,PHI,W (+11),0,27:01:00,3,7,0.429,1,3,0.333,2,2,1,3,2,5,1,0,0,3,1,9,5.3,12
19,19,12/4/2009,20-100,OKC,,BOS,L (-18),0,23:27,1,6,0.167,0,3,0,4,6,0.667,0,5,5,1,1,0,1,1,6,3.2,3
20,20,12/7/2009,20-103,OKC,,GSW,W (+16),0,29:40:00,6,13,0.462,1,4,0.25,13,14,0.929,2,7,9,5,2,0,0,2,26,27.1,17
21,21,12/11/2009,20-107,OKC,@,MEM,W (+8),0,23:07,2,11,0.182,0,2,0,2,2,1,2,3,5,4,2,1,1,1,6,5.5,5
22,22,12/13/2009,20-109,OKC,,CLE,L (-13),0,20:55,1,3,0.333,0,0,,1,2,0.5,1,1,2,2,0,0,2,2,3,0.5,-7
23,23,12/14/2009,20-110,OKC,@,DEN,L (-9),0,23:42,3,7,0.429,1,1,1,2,2,1,2,1,3,5,0,0,4,4,9,4.9,1
24,24,12/16/2009,20-112,OKC,,DAL,L (-14),0,28:57:00,3,9,0.333,0,4,0,6,9,0.667,2,4,6,1,1,0,3,2,12,6.2,-15
25,25,12/18/2009,20-114,OKC,,DET,W (+11),0,25:48:00,5,11,0.455,2,3,0.667,2,2,1,1,2,3,7,1,1,1,4,14,13.6,19
26,26,12/19/2009,20-115,OKC,@,HOU,L (-5),0,31:54:00,5,11,0.455,0,3,0,5,5,1,2,1,3,0,0,1,0,4,15,10.1,8
27,27,12/22/2009,20-118,OKC,@,LAL,L (-3),0,26:01:00,6,14,0.429,2,3,0.667,2,2,1,1,1,2,0,0,0,0,3,16,8.4,-2
28,28,12/23/2009,20-119,OKC,@,PHO,W (+4),0,27:40:00,3,9,0.333,1,4,0.25,7,7,1,1,3,4,1,2,0,2,5,14,9.2,3
29,29,12/26/2009,20-122,OKC,,CHA,W (+7),0,25:26:00,3,6,0.5,1,2,0.5,1,3,0.333,0,4,4,3,2,0,1,2,8,7.7,0
30,30,12/28/2009,20-124,OKC,@,NJN,W (+16),0,22:39,0,10,0,0,4,0,3,4,0.75,3,3,6,1,3,1,2,3,3,-0.2,7
31,31,12/29/2009,20-125,OKC,@,WAS,W (+12),0,16:01,3,7,0.429,1,1,1,4,6,0.667,0,2,2,1,0,0,1,2,11,6,9
32,32,12/31/2009,20-127,OKC,,UTA,W (+1),0,13:15,2,5,0.4,1,2,0.5,0,0,,0,2,2,0,1,0,2,0,5,1.9,0
33,33,1/2/2010,20-129,OKC,@,MIL,L (-6),0,17:32,1,4,0.25,0,3,0,1,2,0.5,0,3,3,1,0,0,3,3,3,-2.4,-7
34,34,1/4/2010,20-131,OKC,@,CHI,W (+13),0,26:32:00,5,11,0.455,3,5,0.6,0,0,,0,1,1,4,1,0,2,5,13,7.4,5
35,35,1/6/2010,20-133,OKC,,NOH,L (-5),0,24:29:00,3,8,0.375,1,3,0.333,2,4,0.5,0,0,0,0,0,0,0,1,9,3.4,-3
36,36,1/9/2010,20-136,OKC,,IND,W (+6),0,26:02:00,3,7,0.429,3,4,0.75,4,6,0.667,0,2,2,3,2,0,1,3,13,11,-9
37,37,1/11/2010,20-138,OKC,,NYK,W (+18),0,28:23:00,3,9,0.333,0,4,0,1,1,1,0,1,1,2,3,0,2,1,7,4.2,2
38,38,1/13/2010,20-140,OKC,,SAS,L (-1),0,32:48:00,3,5,0.6,1,2,0.5,5,6,0.833,0,7,7,1,1,0,1,3,12,10.9,8
39,39,1/15/2010,20-142,OKC,@,DAL,L (-1),0,25:32:00,4,8,0.5,2,4,0.5,1,2,0.5,1,2,3,1,1,0,2,5,11,5.6,-2
40,40,1/16/2010,20-143,OKC,,MIA,W (+18),0,21:23,4,9,0.444,2,3,0.667,4,4,1,0,3,3,0,0,0,1,2,14,8.4,5
41,41,1/18/2010,20-145,OKC,@,ATL,W (+3),0,23:26,5,11,0.455,1,3,0.333,0,0,,0,4,4,0,0,0,1,3,11,4.3,-3
