polarity,tweet
0.5,TheDomValenti hornets MELOD1P gordonhayward MilesBridges Make sure youre dialed into wfnz Weve been using
0.7,hornetsXO hornets Sprite MELOD1P Its just funnyhes good tho
0,2Lexicon NBA hornets Brings in views money its a business bro
-0.4,trustMaximuss hornets Sprite MELOD1P I think one of Graham PJ and Terry have been injured in every game Melo
0.3,PointEdrice hornets Sprite MELOD1P Let us have fun for 2 seconds bro
0.2,Hornets come out tonight in that fourth quarter and have their best defense at the end of the game when they need
0,TheYacobs CLTPodcast WeAreSinclair hornets BringBackTheBuz Yupppp hence the WeAreSinclair
-0.5,2Lexicon Kavanagh25 NBA hornets As a Hornets fan it feels so weird getting all this attention
0,hornets hornetsXO Sprite MELOD1P All star
-0.021212121,Ready to live tweet the hornets vs HoustonRockets game for my JMC306 class
0,hornets Sprite MELOD1P Already voted for him
-0.125,MELOD1P record for tonight and hes on my team Look at the other two nba greats on there hornets
0,hornets Follow back hornets it would make my year
0,Yes please WeAreSinclair we need hornets in the local Charlotte area
0.083333333,CosmicDuck hornets Sprite MELOD1P Put Devonte in a package for a decent big will automatically make this a p
0.285714286,CLTdevelopment CLTPodcast WeAreSinclair hornets BringBackTheBuz Biggest issue right now is a lot of people don
0.5,cameryn813 hornets MELOD1P Steph plays mostly offball Warriors would still compete plus theyd be set for the f
0,MagicJohnson NBA hornets are an up and coming team
0,hornets Sprite MELOD1P Yeah ehhh Im Im here juss watching watching your your show tonight I I gotta is a a
0.65,How many finals will the hornets win with Lamelo
0.5,hornets Man I love this team
-0.6,hornets MELOD1P HornetsOnFSSE Melo was calling chicken all night
0,CosmicDuck hornets Sprite MELOD1P Graham needs to come off the bench in place of one of the martins with monk if anything
0.5,hornets NewAmsterdam Boys ballin Love it miketeam
-0.131818182,Are the hornets the new lobcity That game was bonkers NBA
0.8,rickbonnell hornets Great article at the bottom it says Woods plays for the Hornets but anyone reading knows you meant Rockets
0.7,hornets NewAmsterdam Great win love this team
0.5,Kavanagh25 NBA hornets Nah man just making sure everyone knows not like every NBA account posting about him rn
-0.7,Martin2Hype AlmightyTaka hornets Sprite MELOD1P He was getting fouled bad but you already know the rookie rule about fouls
0.097222222,hornets Sprite MELOD1P Yeah ehhh Im Im going down here juss now Im not bad babe I gotta do do babe
0,Febuary 8th 2021 HoustonRockets 94 vs hornets 119JohnWall Inactive boogiecousins 9 Pts 9 Rebs 1 As
0,NBA hornets LaMelo postgame
-0.104166667,hornets Sprite MELOD1P Does this mean James Borrego has smarten up and gonna keep starting Melo regularly Or is
0,NBA hornets Get used to it NBA
-0.083333333,NvRGood NBA hornets Still have over half the year left bud
-0.5,CosmicDuck hornets Sprite MELOD1P Its unfortunate tch We need that kid So basically Devonte will start
-0.025,hornets Sprite MELOD1P Another display of court vision and distance shooting by LaMelo The guy is flat out s
0.8,NBA hornets Lmao rockets best 3 players didnt play
0.333333333,2Lexicon NBA hornets Obviously a quickly fan its alright bro dont be a hater
0,dmcland72 hornets Cant
0,hornets Sprite MELOD1P If Devonte is in the lineup when hes back Borrego needs to be fired on the spot No meet
0.1,NBA hornets wow lamelo finna be a star
-0.25,We were underdogs the past two games hornets
0,NBA hornets Hes the truth
0,hornets can I get a Lamelo Jersey
0.5,hornets Sprite MELOD1P This is gonna be an anime story Lonzo said he was better than him so
