ID,DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
140,2021-01-10,DET,UTA,86.0,96.0,-10,0,0.33299999999999996,0.857,0.23800000000000002,21,39,0.42700000000000005,0.682,0.314,17,63
141,2021-01-10,LAC,CHI,130.0,127.0,3,1,0.489,0.8,0.526,28,35,0.61,0.882,0.545,30,38
142,2021-01-10,BRK,OKC,116.0,129.0,-13,0,0.506,0.833,0.294,23,43,0.544,0.941,0.385,24,34
143,2021-01-10,NYK,DEN,89.0,114.0,-25,0,0.43200000000000005,0.76,0.28600000000000003,19,36,0.536,0.75,0.429,23,43
144,2021-01-10,HOU,LAL,102.0,120.0,-18,0,0.41100000000000003,0.696,0.293,22,43,0.505,0.75,0.345,28,49
145,2021-01-10,MIN,SAS,96.0,88.0,8,1,0.42,0.826,0.34600000000000003,19,52,0.38299999999999995,0.5710000000000001,0.267,21,45
146,2021-01-10,GSW,TOR,106.0,105.0,1,1,0.409,0.895,0.28300000000000003,30,51,0.406,0.636,0.342,20,48
147,2021-01-11,CHO,NYK,109.0,88.0,21,1,0.48700000000000004,0.87,0.406,28,37,0.391,0.647,0.243,20,49
148,2021-01-11,CLE,MEM,91.0,101.0,-10,0,0.451,0.429,0.423,20,40,0.513,0.762,0.25,32,40
149,2021-01-11,ORL,MIL,99.0,121.0,-22,0,0.429,0.769,0.355,24,44,0.505,0.8,0.371,25,43
150,2021-01-11,WAS,PHO,128.0,107.0,21,1,0.522,0.607,0.441,29,53,0.44799999999999995,0.833,0.14800000000000002,21,42
151,2021-01-11,ATL,PHI,112.0,94.0,18,1,0.374,0.778,0.386,20,58,0.402,0.9229999999999999,0.222,20,50
152,2021-01-11,POR,TOR,112.0,111.0,1,1,0.45799999999999996,0.88,0.33299999999999996,18,42,0.449,1.0,0.40399999999999997,27,43
153,2021-01-11,SAC,IND,127.0,122.0,5,1,0.56,0.7829999999999999,0.469,29,44,0.485,0.833,0.33299999999999996,26,37
154,2021-01-12,PHI,MIA,137.0,134.0,3,1,0.49,0.72,0.345,32,52,0.462,0.792,0.33899999999999997,27,46
155,2021-01-12,BRK,DEN,122.0,116.0,6,1,0.608,0.667,0.5,31,41,0.5,0.625,0.486,28,32
156,2021-01-12,CLE,UTA,87.0,117.0,-30,0,0.389,0.643,0.258,23,40,0.5,0.75,0.5329999999999999,26,48
157,2021-01-12,HOU,LAL,100.0,117.0,-17,0,0.392,0.75,0.3,23,42,0.5,0.7040000000000001,0.43799999999999994,26,55
158,2021-01-12,OKC,SAS,102.0,112.0,-10,0,0.434,0.7929999999999999,0.26899999999999996,18,52,0.43200000000000005,0.909,0.28600000000000003,26,46
159,2021-01-12,GSW,IND,95.0,104.0,-9,0,0.382,0.636,0.342,25,46,0.44299999999999995,0.68,0.321,26,50
160,2021-01-13,CHO,DAL,93.0,104.0,-11,0,0.38,0.5,0.263,26,53,0.41700000000000004,0.563,0.326,22,54
161,2021-01-13,DET,MIL,101.0,110.0,-9,0,0.391,0.682,0.4,25,47,0.48200000000000004,0.643,0.442,31,48
162,2021-01-13,NYK,BRK,109.0,116.0,-7,0,0.478,0.833,0.39299999999999996,22,43,0.484,0.706,0.4,29,46
163,2021-01-13,MIN,MEM,107.0,118.0,-11,0,0.433,0.833,0.243,27,48,0.47200000000000003,0.769,0.32,33,47
164,2021-01-13,OKC,LAL,99.0,128.0,-29,0,0.43,0.789,0.32299999999999995,23,42,0.495,0.773,0.45899999999999996,26,50
165,2021-01-13,LAC,NOP,111.0,106.0,5,1,0.473,0.852,0.486,26,36,0.47700000000000004,0.75,0.35700000000000004,18,48
166,2021-01-13,SAC,POR,126.0,132.0,-6,0,0.524,0.731,0.5,35,42,0.489,0.778,0.479,28,38
167,2021-01-14,PHI,MIA,125.0,108.0,17,1,0.537,0.833,0.45899999999999996,27,35,0.494,0.615,0.353,28,41
168,2021-01-14,SAS,HOU,105.0,109.0,-4,0,0.457,0.75,0.29,26,41,0.488,0.632,0.39399999999999996,25,49
169,2021-01-14,TOR,CHO,111.0,108.0,3,1,0.455,0.846,0.4,33,40,0.483,0.75,0.429,32,44
170,2021-01-14,DEN,GSW,114.0,104.0,10,1,0.456,0.778,0.297,29,50,0.469,0.708,0.379,29,43
171,2021-01-14,POR,IND,87.0,111.0,-24,0,0.368,1.0,0.302,16,43,0.478,0.778,0.3,29,50
172,2021-01-15,BOS,ORL,124.0,97.0,27,1,0.511,0.895,0.405,25,45,0.40399999999999997,0.636,0.25,14,46
173,2021-01-15,CLE,NYK,106.0,103.0,3,1,0.456,0.735,0.33299999999999996,26,48,0.488,0.875,0.36,20,39
174,2021-01-15,MIL,DAL,112.0,109.0,3,1,0.44799999999999995,0.48,0.37799999999999995,22,57,0.46399999999999997,0.462,0.361,22,51
175,2021-01-15,OKC,CHI,127.0,125.0,2,1,0.457,0.667,0.33299999999999996,26,44,0.473,0.72,0.457,27,56
176,2021-01-15,UTA,ATL,116.0,92.0,24,1,0.467,0.7140000000000001,0.455,27,53,0.413,0.733,0.179,21,41
177,2021-01-15,LAL,NOP,112.0,95.0,17,1,0.419,0.731,0.405,31,44,0.47700000000000004,0.5,0.31,22,47
178,2021-01-15,SAC,LAC,100.0,138.0,-38,0,0.47100000000000003,0.706,0.308,23,32,0.584,0.8,0.514,29,47
179,2021-01-16,SAS,HOU,103.0,91.0,12,1,0.4,0.7829999999999999,0.20800000000000002,19,58,0.369,0.63,0.375,20,51
180,2021-01-16,BRK,ORL,122.0,115.0,7,1,0.5379999999999999,0.88,0.457,24,41,0.46299999999999997,0.813,0.304,28,38
181,2021-01-16,TOR,CHO,116.0,113.0,3,1,0.419,0.885,0.429,28,43,0.43700000000000006,0.759,0.41700000000000004,26,48
182,2021-01-16,MEM,PHI,106.0,104.0,2,1,0.434,0.667,0.276,27,43,0.44,0.7190000000000001,0.28,23,53
183,2021-01-16,MIA,DET,100.0,120.0,-20,0,0.478,0.889,0.414,25,31,0.505,0.667,0.391,34,39
184,2021-01-16,POR,ATL,112.0,106.0,6,1,0.38799999999999996,0.85,0.341,18,55,0.43700000000000006,0.857,0.2,24,48
185,2021-01-17,BOS,NYK,75.0,105.0,-30,0,0.298,0.621,0.152,15,43,0.475,0.81,0.387,22,53
186,2021-01-17,DAL,CHI,101.0,117.0,-16,0,0.441,0.579,0.258,18,47,0.506,0.727,0.28,32,47
187,2021-01-17,DEN,UTA,105.0,109.0,-4,0,0.4,0.733,0.37799999999999995,25,52,0.513,0.5710000000000001,0.405,24,36
188,2021-01-17,SAC,NOP,123.0,128.0,-5,0,0.516,0.889,0.33299999999999996,23,33,0.529,0.794,0.5,24,48
189,2021-01-17,LAC,IND,129.0,96.0,33,1,0.552,0.7,0.48700000000000004,27,52,0.41600000000000004,0.688,0.289,28,33
190,2021-01-18,NYK,ORL,91.0,84.0,7,1,0.35600000000000004,0.706,0.185,15,53,0.337,0.875,0.316,18,51
191,2021-01-18,ATL,MIN,108.0,97.0,11,1,0.46799999999999997,0.92,0.39299999999999996,32,48,0.396,0.688,0.37799999999999995,22,39
192,2021-01-18,POR,SAS,104.0,125.0,-21,0,0.433,0.8420000000000001,0.28600000000000003,20,34,0.5329999999999999,0.875,0.455,33,48
193,2021-01-18,MEM,PHO,108.0,104.0,4,1,0.494,0.75,0.423,31,40,0.455,0.563,0.41700000000000004,30,44
194,2021-01-18,BRK,MIL,125.0,123.0,2,1,0.5479999999999999,0.857,0.484,26,49,0.43799999999999994,0.833,0.289,21,41
195,2021-01-18,TOR,DAL,116.0,93.0,23,1,0.5,0.889,0.364,23,46,0.37799999999999995,0.815,0.25,21,38
196,2021-01-18,CHI,HOU,125.0,120.0,5,1,0.467,0.905,0.444,23,47,0.523,0.647,0.425,25,36
197,2021-01-18,MIA,DET,113.0,107.0,6,1,0.573,0.789,0.4,23,36,0.46299999999999997,0.75,0.35100000000000003,24,32
